,Little interest or pleasure,"Feeling down, depressed, or hopeless, Advice related",Small or too much sleep,Tired or little energy or Time related,Poor appetite or overeating,Feeling or emotion words (-ve),"Concentration trouble, addiction ","Moving or speaking very slowly, restless","Pain, hurt or death","Talking disease symptoms, diagnosis",Antidepressants,Relationship related
67,,google_psychopath_definitely,,,,worsening,,,post_ask_cuts,psychiatric_industry,,
68,,pills_gave_hope,,,,worsening_conditioning_circle,,,injury_engaged,emotional_intensity_disorder,,
69,,tried_make_stories,,,,throw_away,,,burning,morbidreality,,
70,,away_peace_guys,,,,experience_jealousy_friends,,,child_cutting_point,anxiety_depression,,
71,,tips_dealing_sex,,,,fuck_insecure,,,hurting_razor_migrated,mental_health,,
72,,instead_smoking_falls,,,,bad_somewhat,,,cut_kind,weight_loss,,
73,,cope_depression_suppress,,,,frustrating_churches_mormon,,,insecure_scars_thighs,depression_diagnosis,,
74,,leave_therapy,,,,negative,,,point_cut_deep,enough_dialectical_behavioral_therapy,,
75,,make_change_lifestyle,,,,dreams_health_questions,,,hurting_hiding_year,mania,,
76,,make_incredibly_daunting,,,,shameful_just,,,method_hurt_oh,psychotic_episodes,,
77,,just_enjoy_time,,,,despite_love_need,,,destructive_attempt_avoid,schizophrenia,,
78,,goal_just_depression,,,,sorry_came,,,serves_cut_lot,severe_depression,,
79,,stop_feeling_self,,,,pride_fades_just,,,death,hormonal_issues,,
80,,definitely_help_motivated,,,,hate_way_easier,,,actually_cutting_doubt,new_meds,,
81,,know_care_problem,,,,reaction,,,satisfying_pulling_hair,mental_health_clinic,,
82,,take_care,,,,blame,,,hair_burning_types,bpd_diagnosis,,
83,,care,,,,lot_repressed,,,knives,real_morbid_reality,,
84,,just_care_feud,,,,elaborate_little_sorry,,,screw,therapy,,
85,,talk_self_care,,,,implications_effected_way,,,hurt_knowing_doing,ptsd_talk,,
86,,events_make_depressed,,,,think_beautiful_ruined,,,ruined_hands,bad_persistent_cough,,
87,,start_beating_mums,,,,vocalize_felt_felt,,,migrated_hurt_knowing,mental_health_care,,
88,,feel_bring_conversation,,,,reality_just_blood,,,did_time_hurt,health_issues,,
89,,like_make_friends,,,,dead_brother_narcissistic,,,know_damage_causes,psychosis,,
90,,improve_longevity_rotors,,,,hospital_bad_experiences,,,years_know_damage,depression,,
91,,mirror_makes,,,,vacation_jealous_having,,,help_self_harm,other_mental_health_patients,,
92,,develop_good_sense,,,,harassed_demanding_forgiveness,,,therapist_suicide,encourage_write_blog,,
93,,learn_lot_therapy,,,,unlocked_scenario_locked,,,feel_tie_clips,adhd_manifests,,
94,,know_struggling_future,,,,treat_yay_congrats,,,think_feel_cut,therapy_figure,,
95,,feel_family_,,,,success_lost_weight,,,believe_hurt_self,therapy_cut_anymore,,
96,,end_relationship_troubled,,,,harmed_friendships_therapy,,,end_boring_episode,therapy_good_thank,,
97,,know_surgery_,,,,bdubs_saying_hates,,,suspension_ligature_suicides,week_therapy_good,,
98,,treatment_surprised_card,,,,cross_symbol_oppression,,,die_help_really,genetics_screw_therapist,,
99,,recommend_adhd_manifests,,,,steering_wheels_ugly,,,artemis_killed_guy,online_diagnosis_therapy,,
100,,negative_stigma_associated,,,,proud_love_riot,,,notice_cannibalism,depression,,
101,,self_respect_issues,,,,rise_tsm_faith,,,disassociate_self_harm,hospitalization_stressful_shameful,,
102,,created_believe_tell,,,,humour_great_really,,,scared_doctor_cuts,dissociated_genetics,,
103,,stigma_examples_listed,,,,resembles_axolotl_great,,,therapy_cut_anymore,anxiety_depression_began,,
