,Little interest or pleasure,"Feeling down, depressed, or hopeless, Advice related",Small or too much sleep,Tired or little energy or Time related,Poor appetite or overeating,Feeling or emotion words (-ve),"Concentration trouble, addiction ","Moving or speaking very slowly, restless","Pain, hurt or death"
95,,feel_family_,,,,success_lost_weight,,,believe_hurt_self
96,,end_relationship_troubled,,,,harmed_friendships_therapy,,,end_boring_episode
97,,know_surgery_,,,,bdubs_saying_hates,,,suspension_ligature_suicides
98,,treatment_surprised_card,,,,cross_symbol_oppression,,,die_help_really
99,,recommend_adhd_manifests,,,,steering_wheels_ugly,,,artemis_killed_guy
100,,negative_stigma_associated,,,,proud_love_riot,,,notice_cannibalism
101,,self_respect_issues,,,,rise_tsm_faith,,,disassociate_self_harm
102,,created_believe_tell,,,,humour_great_really,,,scared_doctor_cuts
103,,stigma_examples_listed,,,,resembles_axolotl_great,,,therapy_cut_anymore
104,,opinions_really_pay,,,,waking_feel_heart,,,suicidal_right_lost
105,,help_mental_illnesses,,,,thank_dealing_anxiety,,,love_dead_sent
106,,leah_spend_time,,,,astounded_surgery,,,cuts_happened_scar
107,,surgery_right_direction,,,,thoughts_constantly,,,explain_reason_hurt
108,,professionals_believe_diagnosis,,,,sorry_hugs_happy,,,feel_pain
109,,believe_tell_paint,,,,drum_breaks_hard,,,impulses_hurt
110,,think_crazy_genetic,,,,symbol_oppression,,,mother_suicide_plan
111,,surreal_brainwashed,,,,love_boobies_intense,,,suicides_school_years
112,,return_confirmed_deans,,,,neck_sorry_worry,,,harming_session_youngest
113,,fit_different_corollas,,,,love_riot_pro,,,harming_skipping_therapy
114,,safe_students_want,,,,hospitalization_stressful_shameful,,,points_thought_death
115,,stalking_children_going,,,,experiences_awkward_funny,,,learn_pain_want
116,,stay_probably,,,,esteem_low_easy,,,acne_super_sensitive
117,,pattern_delete_snare,,,,feel_like_skinny,,,need_self_destruction
118,,future_nhl_starter,,,,self_esteem,,,mean_like_suicidal
119,,recent_comments_probably,,,,chapter_change_love,,,enzo_injury_period
120,,therapy_wish_luck,,,,moving_helped_relationship,,,split_slayers
121,,definitely_make_happy,,,,just_jealous,,,body_removed_help
122,,bad_doubt_fjm,,,,post_darksouls_hey,,,soloing_online_alright
123,,debate_ap_board,,,,bigger_gets_jealous,,,
124,,previous_ownership_obscure,,,,believe_malcolm_quite,,,
125,,compulsion_takes,,,,cared_way_guilt,,,
126,,outlets_frustrations_therapist,,,,stupid_shit_wilkins,,,
127,,response_overwhelming_tragedy,,,,fucking_terrifying_putting,,,
128,,figure_mental_complex,,,,great_cuddle_sad,,,
129,,morbidquestions_leaving_note,,,,talking_worried_disgusts,,,
130,,strong_aspects_cd,,,,possessed_periods_violence,,,
131,,deal_disabled_mum,,,,previews_skeeved_mental,,,
132,,anticlimactic_reigns_suspension,,,,extremely_temperamental_scanning,,,
133,,plays_abuses_freelo,,,,afraid_going_sued,,,
134,,health_papers_cite,,,,themes_disappointment,,,
135,,season_jeff_centered,,,,chewing_leg_makes,,,
136,,room_rearranged_texted,,,,insults_points_defend,,,
137,,prying,,,,finger_broke_month,,,
138,,let_prying_damaging,,,,bleu_cheese_harmful,,,
139,,believe_invoke_discussion,,,,consecutive_kills_feels,,,
140,,supremacists_counterproductive,,,,positives_days_faint,,,
141,,hands_stupidity_want,,,,just_depression,,,
142,,know_explain_reason,,,,higher_tiers_doomed,,,
143,,sun_eberron_suggestions,,,,groundskeepers_ashamed_man,,,
144,,stop_nails_cigs,,,,choice_shitty_freelance,,,
145,,mario_roommate_banned,,,,wresking_havoc_relationship,,,
146,,cats_alike_issue,,,,bullshit_rule_yards,,,
147,,need_self,,,,adamant_power_creep,,,
148,,contributing_just_positive,,,,schizophrenia_actually_pretty,,,
149,,complaining_boring_cheeze,,,,tips_suck_harmonies,,,
150,,getting_self,,,,thought_help_depression,,,
151,,,,,,hear_sorry,,,
152,,,,,,confused_getting_arrested,,,
153,,,,,,awkward_canadian_syrup,,,
154,,,,,,tons_tons_racist,,,
155,,,,,,blade_pills_regret,,,
156,,,,,,embarrassing_self_confidence,,,
157,,,,,,cancer_afterward_engaged,,,
158,,,,,,lying_cancer,,,
159,,,,,,good_bye_horses,,,
160,,,,,,rape_abomination_sad,,,
161,,,,,,legs_handle_weight,,,
162,,,,,,hyper_honest,,,
163,,,,,,story_survived_molestation,,,
164,,,,,,dog_story_upset,,,
165,,,,,,riot,,,
166,,,,,,emo_faggots_telling,,,
167,,,,,,great_conversation,,,
168,,,,,,such_great_conversation_starters,,,
169,,,,,,therapies_thank_proud,,,
170,,,,,,dropped_zombie,,,
171,,,,,,think_zombie,,,
172,,,,,,just_make_zombie,,,
173,,,,,,nostalgic_limited_edition,,,
174,,,,,,scary_parallels_history,,,
175,,,,,,cage_cats_shelter,,,
